"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "JSON", "Ignore", "XML", "comment", "blank", "total"
"y:\mc\src\instance\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\src\launch\Launcher.mjs", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 2, 85
"y:\mc\src\settings\GameInstallerSettings.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\utils\FileSystem.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 2, 20
"y:\mc\src\utils\Promisify.mjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"y:\mc\view\app\LoadConfigs.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 25, 4, 36
"y:\mc\view\app\components\card.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 2, 49
"y:\mc\view\app\components\cardHeader.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"y:\mc\view\app\components\checkbox.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 2, 58
"y:\mc\view\app\components\commandButton.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"y:\mc\view\app\components\inputText.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"y:\mc\view\app\components\listItem.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"y:\mc\view\app\components\loading.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\view\app\components\page\AccountSetting.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"y:\mc\view\app\components\page\AdvancedSetting.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 2, 63
"y:\mc\view\app\components\page\AppearanceSettings.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"y:\mc\view\app\components\page\DownloadPage.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"y:\mc\view\app\components\page\DownloadSetting.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"y:\mc\view\app\components\page\EasyuseSetting.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"y:\mc\view\app\components\page\GameSetting.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 3, 120
"y:\mc\view\app\components\page\GeneralSetting.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"y:\mc\view\app\components\page\Settings.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"y:\mc\view\app\components\page\WareHouse.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 2, 167
"y:\mc\view\app\components\page\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\view\app\components\sidebar.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"y:\mc\view\app\components\sidebarItem.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\mc\view\app\components\sliderBar.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 2, 68
"y:\mc\view\app\components\tooltip.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"y:\mc\view\app\components\window\colorChooser.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 64
"y:\mc\view\app\components\window\gameInstall.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"y:\mc\view\app\components\window\msLogin.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"y:\mc\view\app\core\auth.js", "JavaScript", 240, 0, 0, 0, 0, 0, 0, 12, 10, 262
"y:\mc\view\app\core\download.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 3, 31
"y:\mc\view\app\core\installer.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 10, 5, 169
"y:\mc\view\app\i18n\loader.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"y:\mc\view\app\i18n\zh_cn.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"y:\mc\view\app\onload.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 17, 9, 169
"y:\mc\view\app\view\Button.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"y:\mc\view\app\view\Card.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 5, 1, 43
"y:\mc\view\app\view\Control.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 9, 172
"y:\mc\view\app\view\Page.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"y:\mc\view\app\view\PopupWindow.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"y:\mc\view\app\view\Sidebar.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"y:\mc\view\assets\images\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 118, 0, 0, 118
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 173, 0, 0, 0, 0, 12, 37, 222
"y:\mc\view\assets\styles\control.css", "CSS", 0, 0, 515, 0, 0, 0, 0, 15, 94, 624
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 0, 204, 0, 0, 0, 0, 0, 55, 259
"y:\mc\view\assets\styles\font.css", "CSS", 0, 0, 99, 0, 0, 0, 0, 1, 19, 119
"y:\mc\view\assets\styles\index.css", "CSS", 0, 0, 1146, 0, 0, 0, 0, 59, 211, 1416
"y:\mc\view\index.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 11, 4, 75
"y:\mc\view\renderer.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 1, 13, 125
"y:\mc\view\vendor\ac-colors.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\hsvToRgb.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"y:\mc\view\vendor\jquery-ui.min.js", "JavaScript", 8217, 0, 0, 0, 0, 0, 0, 4, 1, 8222
"y:\mc\view\vendor\jquery.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\vanilla-tilt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\vue.dev.js", "JavaScript", 13100, 0, 0, 0, 0, 0, 0, 1950, 120, 15170
"y:\mc\view\vendor\vue.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 25002, 89, 2137, 1, 8978, 0, 118, 2489, 776, 39590
